id,brand,model,status,condition,weight,shape,balance,price_huf,previous_owner,country,player_level,warranty,invoice,description_hu,description_en,description_de,image1,image2,image3,image4,image5,image6
1,NOX,AT10 Pro Cup Hard,available,second hand,365–375 g,Diamond,High,50000,Rainer,Austria,Advanced,No warranty,,"Hibátlan állapotban. Komoly, támadó karakterű ütő haladó játékosoknak. A keményebb felület és a gyémánt forma nagy ütőerőt kínál, miközben a NOX technológiái stabil, precíz játékot biztosítanak. Ha az erő és a határozott befezések fontosak számodra, ez az ütő jó választás.","Hibátlan állapotban. Komoly, támadó karakterű ütő haladó játékosoknak. A keményebb felület és a gyémánt forma nagy ütőerőt kínál, miközben a NOX technológiái stabil, precíz játékot biztosítanak. Ha az erő és a határozott befezések fontosak számodra, ez az ütő jó választás.",,images/nox_at10_pro_cup_hard_01.jpg,images/nox_at10_pro_cup_hard_02.jpg,images/nox_at10_pro_cup_hard_03.jpg,images/nox_at10_pro_cup_hard_04.jpg,images/nox_at10_pro_cup_hard_05.jpg,images/nox_at10_pro_cup_hard_06.jpg
2,Bullpadel,Hack 04 – Paquito Navarro,available,second hand,365–375 g,Diamond,High / approx. 27 cm,45000,Christoph,Austria,Advanced,No warranty,,"Paquito Navarro 2025-ös Bullpadel Hack 04 modellje prémium, támadó karakterű diamond ütő. Erőssége a robbanékony erő, a stabil és pontos labdaindítás, valamint a jó pörgethetőség. Pár festékleverődés a peremen, de semmi olyan ami miatt ne lehetne évekig hűséges társad a versenyeken vagy a baráti meccseken","Paquito Navarro's 2025 Bullpadel Hack 04 is a premium diamond-shaped offensive racket. Its strengths are explosive power, stability, precise ball output and excellent spin potential.",,images/bullpadel-hack-04.jpg,images/bullpadel-hack-04-01.jpg,images/bullpadel-hack-04-02.jpg,images/bullpadel-hack-04-03.jpg,,images/nox-at10-genius-18k-05.jpg
3,NOX,AT10 Genius 18K by Agustín Tapia,sold,second hand,360–375 g,Teardrop,Medium,55000,Thomas,Austria,Intermediate / Advanced,No warranty,,"Pár minimális méretű karcon kívül mint egy új ütő. Az Agustín Tapia nevével fémjelzett NOX AT10 Genius 18K 2024 prémium, sokoldalú modell, amely kiválóan ötvözi a kontrollt, a kezelhetőséget és a támadóerőt. A nagy sweet spot, a könnyű kezelhetőség és a pontos labdahelyezés különösen vonzó.","The Agustín Tapia NOX AT10 Genius 18K 2024 is a premium, versatile racket combining control, maneuverability and attacking performance. Its generous sweet spot, easy handling and precise shot placement are major strengths.",,images/nox-at10-genius-18k-01.jpg,images/nox-at10-genius-18k-02.jpg,images/nox-at10-genius-18k-03.jpg,images/nox-at10-genius-18k-04.jpg,,
4,Siux,Invicta,available,new,355–375 g,Diamond,High,35000,-,Spain,Intermediate / Advanced,No warranty,,"Teljesen új, sosem használt. A Siux Invicta 2023 karakteres, támadó diamond ütő, amelyet az erőteljes játék és a jó labdasebesség tesz vonzóvá. A 3K karbon ütőfelület, a Soft EVA mag és a magas balansz hatékony energiaátadást biztosít.","The 2023 Siux Invicta is a distinctive attacking diamond racket built around power and strong ball speed. Its 3K carbon faces, Soft EVA core and high balance provide efficient energy transfer.",,images/siux-invicta-01.jpg,images/siux-invicta-02.jpg,images/siux-invicta-03.jpg,images/siux-invicta-04.jpg,,
5,Siux,Invicta,available,new,355–375 g,Diamond,High,35000,-,Spain,Intermediate / Advanced,No warranty,,"Teljesen új, sosem használt. A Siux Invicta 2023 karakteres, támadó diamond ütő, amelyet az erőteljes játék és a jó labdasebesség tesz vonzóvá. A 3K karbon ütőfelület, a Soft EVA mag és a magas balansz hatékony energiaátadást biztosít.","The 2023 Siux Invicta is a distinctive attacking diamond racket built around power and strong ball speed. Its 3K carbon faces, Soft EVA core and high balance provide efficient energy transfer.",,images/siux-invicta-01.jpg,images/siux-invicta-02.jpg,images/siux-invicta-03.jpg,images/siux-invicta-04.jpg,,images/dunlop-tsunami-01.jpg
6,Dunlop,Tsunami,available,new,360–375 g,Teardrop,Medium,22000,-,Spain,Beginner / Intermediate,No warranty,,"Dunlop Tsunami, sokoldalú és könnyen kezelhető padelütő csepp alakú fejjel és közepes balansszal. Kényelmes, megbocsátó karakterű modell, jó választás kontrollált, sokoldalú játékhoz.","Dunlop Tsunami, a versatile and easy-to-handle padel racket with a teardrop shape and medium balance. A comfortable, forgiving model suited to controlled, versatile play.",,images/dunlop-tsunami-05.jpg,images/dunlop-tsunami-02.jpg,images/dunlop-tsunami-03.jpg,images/dunlop-tsunami-04.jpg,,images/bullpadel-hack-03-5.jpg
7,Bullpadel,Hack 03,available,second hand,365–375 g,Diamond,High,50000,Florian,Austria,Advanced / Pro,No warranty,,"Szép bolti állapotban, kompakt darab. A Bullpadel Hack 03 Paquito Navarro támadó karakterű, diamond formájú modell. A Tricarbon külső réteg, MultiEva mag, CarbonTube váz és magas balansz nagy erőt, stabilitást és jó kontrollt kínál. Az Air React Channel, CustomWeight, Vibradrive és Hesacore rendszerek a kezelhetőséget és a komfortot támogatják.","The Bullpadel Hack 03 is Paquito Navarro's attack-oriented diamond racket. Its Tricarbon outer layer, MultiEva core, CarbonTube frame and high balance are designed for maximum power while retaining control, with Air React Channel, CustomWeight, Vibradrive and Hesacore technologies supporting handling and comfort.",,images/bullpadel_hack_03_01.jpg,images/bullpadel_hack_03_02.jpg,images/bullpadel_hack_03_03.jpg,images/bullpadel_hack_03_04.jpg,images/bullpadel_hack_03_05.jpg,images/bullpadel_hack_03_06.jpg
9,NOX,Future Hybrid 12K Alum,sold,second hand,360–375 g,Teardrop,Medium-High,50000,Rainer,Austria,Advanced / Pro,No warranty,,"A NOX Future Hybrid 12K Alum sokoldalú, csepp formájú modell, amely a támadás és a védekezés között gyors átmenetekre készült. A 12K Alum karbon felület, az EV50 mag és a 3D érdesítés stabil, határozott labdakiadást és jó pörgethetőséget ad.","The NOX Future Hybrid 12K Alum is a versatile teardrop racket designed for smooth transitions between defence and attack. Its 12K Alum carbon face, EV50 core and 3D rough surface provide a stable, responsive feel with strong spin potential.",,images/nox_future_hybrid_01.jpg,images/nox_future_hybrid_02.jpg,images/nox_future_hybrid_03.jpg,images/nox_future_hybrid_04.jpg,images/nox_future_hybrid_05.jpg,images/nox_future_hybrid_016jpg
8,adidas,Adipower 10th Anniversary,sold,newish,355–365 g,Diamond Oversize,High,65000,Luka,Germany,Advanced / Competition,No warranty,,"Limitált, számozott modell, csak 2016 db készült, ebből ez az egyik. Az adidas Adipower 10th Anniversary 2025 jubileumi modell az Adipower sorozat 10 éves történetét ünnepli. Oversize diamond forma, magas balansz, 18K karbon felület és Soft EVA mag jellemzi. A Power Embossed Ridge, Smart Holes Curve és Spin Blade technológiák a támadó játékot és a pörgetést támogatják.","The adidas Adipower 10th Anniversary 2025 celebrates a decade of the Adipower line. It combines an oversized diamond shape, high balance, 18K carbon surface and Soft EVA core, with Power Embossed Ridge, Smart Holes Curve and Spin Blade technologies aimed at attacking performance and spin.",,images/adidas_adipower_10th_anniversary_01.jpg,images/adidas_adipower_10th_anniversary_02.jpg,images/adidas_adipower_10th_anniversary_03.jpg,images/adidas_adipower_10th_anniversary_04.jpg,images/adidas_adipower_10th_anniversary_05.jpg,images/adidas_adipower_10th_anniversary_06.jpg
sold-001,NOX,Quantum 12K Cobalt,sold,second hand,360–375 g,teardrop,medium,,,,,,,"Erős, gyors, mégis jól kezelhető all-round ütő 12K karbon felülettel és HR3 Color EVA maggal. A dupla érdes felület jó kontrollt és sok spinpotenciált ad.",A fast and powerful all-round racket with a 12K carbon face and HR3 Color EVA core. Its dual rough finish combines solid control with plenty of spin potential.,,images/sold-01-nox-quantum-12k-cobalt.jpg,,,,,
sold-002,NOX,NextGen Attack 3K,sold,second hand,363 g,diamond,medium-high,,,,,,,"Támadó karakterű NextGen modell 3K karbon felülettel, jó stabilitással és határozott labdakezeléssel. Kifejezetten élvezetes választás agresszív játékhoz.","An attacking NextGen model with a 3K carbon face, solid stability and a responsive feel. A great choice for an aggressive, attacking style.",,images/sold-02-nox-nextgen-attack-3k.jpg,,,,,
sold-003,HEAD,Speed Motion,sold,second hand,360 g,teardrop,medium,,,,,,,"Könnyű és nagyon jól mozgatható Speed modell Power Foam maggal és hibrid karbon/üvegszálas felülettel. Gyors reakciókhoz és kontrollált, sokoldalú játékhoz remek.","A light and highly manoeuvrable Speed model with Power Foam and a hybrid carbon/fibreglass face. Excellent for quick reactions and versatile, controlled play.",,images/sold-03-head-speed-motion.jpg,,,,,
sold-004,Dunlop,Tsunami,sold,second hand,,teardrop,medium-high,,,,,,,"Sokoldalú, kényelmes Tsunami modell jó labdakihozatallal és kellemes erő-kontroll aránnyal. Jó választás középhaladó játékhoz.",A versatile and comfortable Tsunami model offering good ball output and a pleasant balance of power and control. A strong option for intermediate play.,,images/sold-04-dunlop-tsunami.jpg,,,,,
sold-005,Drop Shot,Axion Attack,sold,second hand,360–370 g,teardrop,high,,,,,,,"Karakteres, támadó ütő 18K karbonnal, EVA Pro maggal és érdes 3D felülettel. Erőteljes, gyors és jól reagál a támadó ütésekben.","A distinctive attacking racket with 18K carbon, EVA Pro core and a rough 3D surface. Fast, powerful and highly responsive on attacking shots.",,images/sold-05-drop-shot-axion-attack.jpg,,,,,
sold-006,Drop Shot,Explorer Pro Control Ambition,sold,second hand,360–370 g,round,low,,,,,,,"Kontrollorientált, könnyen kezelhető kerek forma 3K karbonnal és puhább EVA maggal. Nagyobb sweet spot, jó komfort és kiváló labdaérzet.","A control-focused, easy-to-handle round racket with 3K carbon and a softer EVA core. Forgiving, comfortable and easy to play.",,images/sold-06-drop-shot-explorer-pro-control.jpg,,,,,
sold-007,FILA,The Agilis,sold,second hand,360–380 g,round,low,,,,,,,"Kerek, alacsony balanszú, jól kezelhető ütő nagy sweet spottal. A 3K karbon és a puhább EVA mag kellemes komfortot és pontos játékot ad.",A manoeuvrable round racket with low balance and a large sweet spot. The 3K carbon face and softer EVA core provide comfort and accuracy.,,images/sold-07-fila-the-agilis.jpg,,,,,
sold-008,adidas,Adipower Legend,sold,second hand,360–370 g,diamond,head heavy,,,,,,,"Seba Nerone legendás Adipower modellje. Gyémánt forma, 3K karbon és Soft Performance EVA – stabil, erőteljes ütő támadó játékhoz és sok spinhez.","Seba Nerone's legendary Adipower model. Diamond shape, 3K carbon and Soft Performance EVA combine for stability, power and plenty of spin.",,images/sold-08-adidas-adipower-legend.jpg,,,,,
sold-009,Babolat,Counter Vertuo,sold,second hand,350–360 g,round,low,,,,,,,"Kifejezetten megbocsátó, komfortos Counter modell nagy sweet spottal. Könnyen kezelhető, jó kontrollt és könnyű erőt ad védekezésből induló játékhoz.","A forgiving and comfortable Counter model with a large sweet spot. Easy to handle, with excellent control and accessible power from defensive positions.",,images/sold-09-babolat-counter-vertuo-1.jpg,,,,,
sold-010,NOX,AT10 Genius 18K,sold,second hand,360–375 g,teardrop,medium,,,,,,,"Agustín Tapia signature modellje, amely a kontrollt és a támadóerőt nagyon jól ötvözi. A 18K karbon karakteres, precíz érzetet ad.","Agustín Tapia's signature model, combining control with strong attacking performance. The 18K carbon construction delivers a precise, responsive feel.",,images/sold-10-nox-at10-genius-18k-1.jpg,,,,,
sold-011,NOX,AT10 Genius 18K,sold,second hand,360–375 g,teardrop,medium,,,,,,,"Az egyik legismertebb Tapia-modell: sokoldalú, precíz és erőteljes, különösen technikás, támadó játékhoz.","One of Tapia's best-known models: versatile, precise and powerful, especially suited to technical and attacking play.",,images/sold-11-nox-at10-genius-18k-2.jpg,,,,,
sold-012,Babolat,Counter Vertuo,sold,second hand,350–360 g,round,low,,,,,,,"Kényelmes, nagy sweet spottal rendelkező kontrollütő, amely könnyű kezelhetőségével és megbocsátó karakterével tűnik ki.","A comfortable control racket with a generous sweet spot, standing out for its easy handling and forgiving character.",,images/sold-12-babolat-counter-vertuo-2.jpg,,,,,
sold-013,Babolat,Technical Viper,sold,second hand,360–375 g,diamond,head heavy,,,,,,,"Erőorientált, gyémánt formájú Technical modell keményebb érzetű felépítéssel és érdes felülettel. Nagyon jó választás erős támadó játékhoz és pörgetéshez.",A power-focused diamond racket with a firm response and rough surface. A strong choice for aggressive attacking play and heavy spin.,,images/sold-13-babolat-technical-viper.jpg,,,,,
sold-014,HEAD,Speed Pro,sold,second hand,370 g,teardrop,medium,,,,,,,"A Speed sorozat erőteljes, mégis sokoldalú tagja Power Foam maggal és Auxetic technológiával. Jó kombinációja a kontrollnak, erőnek és labdakihozatalnak.","A powerful yet versatile member of the Speed range, combining Power Foam and Auxetic technology for a strong mix of control, power and ball output.",,images/sold-14-head-speed-pro.jpg,,,,,
sold-015,NOX,AT10 Genius 12K,sold,second hand,360–375 g,teardrop,medium,,,,,,,"Tapia signature modell 12K karbonnal, nagyon jó egyensúllyal a kontroll, gyorsaság és támadóerő között. Sokoldalú all-court karakter.","Tapia's signature model with a 12K carbon face, offering an excellent blend of control, speed and attacking performance. A versatile all-court racket.",,images/sold-15-nox-at10-genius-12k.jpg,,,,,
